Postal_Code,Population>18,Total,Urban,Rural
98404,26832,35172,35172,0
98405,20197,24617,24617,0
98406,19191,22768,22768,0
98407,17308,21931,21931,0
98408,17003,20566,20566,0
98409,22039,27840,27840,0
98416,823,1478,1478,0
98418,8281,10371,10371,0
98421,790,1239,1232,7
98422,17131,21343,21289,54
98424,9006,12132,12132,0
98430,580,0,0,0
98433,14701,20814,20813,1
98438,560,582,582,0
98439,3816,5474,5474,0
98443,4624,5733,5733,0
98444,27001,36885,36885,0
98445,25636,33927,33927,0
98446,10325,12800,12800,0
98447,1067,1053,1053,0
98465,6310,7524,7524,0
98466,23635,29769,29769,0
98467,11830,16512,16512,0
98498,23378,29982,29982,0
98499,26679,33188,33188,0
98501,35645,45274,43530,1744
98502,28371,35698,28625,7073
98503,34372,40346,40346,0
98505,400,561,561,0
98506,16302,19198,15072,4126
98512,25177,31422,21221,10201
98513,28076,36059,32721,3338
98516,20969,29443,26081,3362
98520,19387,24086,19010,5076
98524,3221,3551,0,3551
98526,140,276,0,276
98527,230,332,0,332
98528,9828,11052,4287,6765
98530,400,641,0,641
98531,21028,26669,22401,4268
98532,20575,25572,10950,14622
98533,547,558,0,558
98535,322,529,0,529
98536,0,153,0,153
98537,2257,2181,1638,543
98538,342,425,0,425
98539,135,164,0,164
98541,7851,10509,4397,6112
98542,652,668,0,668
98544,7,68,0,68
98546,2506,3013,0,3013
98547,1094,1433,0,1433
98548,2474,2375,0,2375
98550,9786,11502,8482,3020
98552,186,196,0,196
98555,238,586,0,586
98556,448,453,0,453
98557,3195,3695,0,3695
98558,60,134,130,4
98559,0,60,0,60
98560,55,154,0,154
98562,78,174,0,174
98563,6064,8235,5693,2542
98564,2292,2581,0,2581
98565,286,448,448,0
98566,198,299,0,299
98568,2154,2768,0,2768
98569,6518,6964,6687,277
98570,3382,4489,0,4489
98571,76,483,0,483
98572,556,795,0,795
98575,129,129,0,129
98576,3857,5388,0,5388
98577,5791,6708,0,6708
98579,11219,13648,8472,5176
98580,9088,12164,686,11478
98581,425,421,0,421
98582,220,640,0,640
98583,129,144,144,0
98584,30344,39266,14907,24359
