Postal_Code,Population
99217,15197
99218,11916
99223,26935
99224,19125
99251,1048
99258,499
99301,57954
99320,7402
99321,606
99322,332
99323,2983
99324,7930
99326,4619
99328,3032
99329,125
99330,671
99333,74
99335,139
99336,37902
99337,24910
99338,12901
99341,619
99343,2233
99344,12068
99345,125
99346,293
99347,1935
99348,1078
99349,5266
99350,9986
99352,26903
99353,12306
99354,19493
99356,222
99357,2496
99359,100
99360,937
99361,1371
99362,35022
99363,61
99371,243
99401,206
99402,1281
99403,16403
